feature_type,source,name,operator,capacity_mw,latitude,longitude
generator,solar,Campo fotovoltaico,M2TECH s.r.l.,1998.091,46.1606049,12.9003699
plant,solar,Ravenna,FS Energy,945.0,44.433867,12.2197543
generator,wind,Leitwind 77,,900.0,41.4898135,15.4313588
plant,solar,Centrale Archimede,Enel,774.0,37.1372578,15.2156304
plant,solar,Sol de Isé,C.E.I.S.,708.0,46.0496321,10.8691079
plant,solar,Area ex S.A.R.O.M.,Autorità di Sistema Portuale del Mare Adriatico centro settentrionale,657.0,44.4321072,12.2355997
generator,solar,,,621.81,45.6504544,12.7788697
plant,solar,Area ex Serbatoi,Autorità di Sistema Portuale del Mare Adriatico centro settentrionale,534.0,44.4299766,12.2384669
plant,solar,,,123.0,45.9366601,12.4245969
plant,solar,Troia Solar Park,Iren,103.0,41.397908,15.3672405
plant,solar,,Altea Green Power SpA,91.0,44.7321266,10.4656161
plant,solar,Impianto fotovoltaico di Montalto di Castro,,84.23,42.3794567,11.5919362
plant,wind,Parco Eolico Sa Turrina Marra,Enel Green Power,84.0,40.7673391,8.9601796
plant,wind,Parco Eolico di Bonorva,Edison,74.0,40.3923916,8.8028558
plant,wind,Parco eolico di Francofonte,Allianz,72.0,37.2307787,14.8101096
plant,solar,Parco fotovoltaico di Rovigo,SunEdison,70.0,45.0375359,11.5700305
generator,solar,Campo fotovoltaico EOS2,CEM Ambiente,49.28,45.5869717,9.433119
plant,wind,Parco eolico di Mazara del Vallo,Edison,45.0,37.6492164,12.7068998
plant,solar,Parco Fotovoltaico Alfonsine,,36.2,44.5723539,11.9897362
plant,solar,Fornasilla 1-4,Envalue Italia srl,31.91,46.0678779,13.3124287
plant,solar,Parco fotovoltaico di Porto Torres,Eni New Energy,31.0,40.8367001,8.3411643
plant,wind,Beleolico,Renexia,30.0,40.4939102,17.1381238
plant,wind,Parco Eolico di Mistretta,Edison,30.0,37.8888116,14.3713889
plant,wind,Parco Eolico Fiume Santo,,30.0,40.8278782,8.300676
plant,wind,Castelmauro wind farm,Enel Green Power,29.4,41.8041216,14.6453621
plant,wind,Parco Eolico di Montemurro,,29.0,40.3279381,16.0033456
plant,solar,Ex Polveriera Mangiarotti,,23.5,45.9677767,12.9510195
plant,wind,Parco eolico Santa Luce,,23.4,43.4850333,10.5992425
plant,wind,Parco Eolico di Nurri,Edison,22.1,39.7300853,9.1819695
plant,wind,,Enel Green Power,21.0,41.7943063,14.6411167
plant,wind,,Enel Green Power,21.0,41.7946383,14.6620596
plant,solar,Rossi 1,Acea,20.0,40.4558508,16.3774788
plant,wind,Parco eolico dei Poggi Alti,,20.0,42.7392503,11.3825431
plant,solar,,Eni New Energy,18.0,45.1774278,7.7856886
plant,wind,Parco Eolico Foce di Cornia,,18.0,42.956693,10.5739329
plant,wind,Parco Eolico Frigento,,14.0,40.9858675,15.1485361
plant,solar,,,13.0,45.9514387,13.4029149
plant,wind,Parco eolico di Casoni di Romagna,AGSM Verona,12.8,44.2508449,11.4205967
plant,wind,Parco eolico di Colle San Bernardo,San Bernardo Wind Energy,12.5,44.1771799,8.0505845
plant,wind,Parco Eolico Nuova Altanurra,Enel Green Power,12.3,40.8409314,8.2923423
plant,solar,,,11.0,45.9645038,13.3727994
plant,solar,Centrale Fotovoltaica Treia 7 s.a.s. di Progetto Marche s.r.l.,,9.991,43.3370717,13.3133332
generator,solar,,Italgen,9.8,45.6564496,9.5227734
generator,solar,,Italgen,9.8,45.655538,9.5231635
generator,solar,,Italgen,9.8,45.6561101,9.5255317
generator,solar,,Italgen,9.8,45.657572,9.5272624
generator,solar,,Italgen,9.8,45.6587694,9.5284339
generator,solar,,Italgen,9.8,45.6570423,9.5221472
