unit_mastr_id,plant_name,wind_park_name,operator_mastr_id,operator_name,gross_capacity_kw,net_capacity_kw,operating_status,commissioning_date,state,district,municipality,postal_code,city,lat,lon
SEE903048865665,PV-Anlage Grüner Weg,,ABR900113869528,PV-Anlage Grüner Weg GbR,1617.84,1266.800,35,2012-03-30,1409,Höxter,Beverungen,37688,Beverungen,51.671272,9.381222
SEE926764399504,PV-Projekt Stuttgart,,ABR909253511847,PV-Projekt Stuttgart 09 GmbH ＆ Co. KG,1012.21,999.000,35,2010-06-01,1402,Stuttgart,Stuttgart,70327,Stuttgart,48.782000,9.234000
SEE952083574476,Photovoltaikanlage Neudorf-Dietenhofen,,ABR998881568620,Bürgersonnenenergie Neudorf-Dietenhofen GmbH ＆ Co. KG,9999.0,8340.000,35,2018-12-31,1403,Ansbach,Dietenhofen,90599,Dietenhofen,49.416361,10.681028
SEE994872405684,SP Elsteraue Basis,,ABR948985124215,Solarpark Elsteraue GmbH ＆ Co. KG,2283.54,2023.000,35,2011-05-19,1414,Burgenlandkreis,Elsteraue,06729,Elsteraue,51.068775,12.205957
SEE972677762652,Solarpark Friesendorf,,ABR937463192716,,1224.0,1000.000,35,2014-11-24,1403,Coburg,Ebersdorf b. Coburg,96237,Ebersdorf,50.236084,11.050589
SEE936930075873,Hallendächer,,ABR980126011183,Fischer Photovoltaik GbR,3685.28,3625.280,35,2005-08-25,1403,Dingolfing-Landau,Dingolfing,84130,Dingolfing,48.640000,12.423000
SEE901324017296,"Reichenbach, Solarpark zum Sachsenwald",,ABR939938319383,"Hayn, Dullenkopf, Hübner, Rudolph GbR",1100.0,990.000,35,2015-03-31,1413,Vogtlandkreis,Reichenbach im Vogtland,08468,Reichenbach,50.640199,12.324043
SEE927146066595,Freiflächenanlage,,ABR928500418180,AöR eEfB Anstalt des öffentlichen Rechts erneuerbare Energien für Birkenfeld,1278.0,1150.200,35,2012-06-29,1410,Birkenfeld,Gimbweiler,55767,Gimbweiler,49.590510,7.200563
SEE953239725025,Krannich Solarpark 15 Niepars,,ABR964929859166,Krannich Solarpark 15 GmbH ＆ Co KG,3982.26,3982.260,35,2011-12-15,1407,Vorpommern-Rügen,Niepars,18442,Niepars,54.300692,12.920000
SEE989161136004,Solarpark St. Wendel Freiflächenanlage,,ABR947970129136,Solarpark St. Wendel GmbH,3349.72,3349.720,35,2011-09-23,1412,St. Wendel,St. Wendel,66606,St. Wendel,49.482027,7.125189
SEE933998118603,SPK GmbH ＆ CoKG,,ABR961414159190,SPK GmbH ＆ CoKG,1142.57,1100.000,35,2012-06-25,1403,Deggendorf,Stephansposching,94569,Stephansposching,48.813860,12.779600
SEE933290191069,Solarpark Amsdorf II,,ABR975732884801,GERO Solarpark GmbH,3571.2,3168.000,35,2012-04-20,1414,Mansfeld-Südharz,Seegebiet Mansfelder Land,06317,Seegebiet Mansfelder Land,51.455198,11.739311
SEE912459066721,Solarpark Königsbronn,,ABR995037754654,Solarpark Königsbronn GmbH,9999.0,9090.000,35,2014-05-23,1402,Heidenheim,Königsbronn,89551,Königsbronn,48.751312,10.169209
SEE911794319455,Krannich Solarpark 20 Kliestow,,ABR967521182502,Krannich Solarpark 20 GmbH ＆ Co KG,2294.64,2168.400,35,2012-06-26,1400,Frankfurt (Oder),Frankfurt (Oder),15234,Frankfurt,52.380400,14.522700
SEE926079243721,Krannich Solarpark 22 Malchin,,ABR990831129097,Krannich Solarpark 22 GmbH ＆ Co KG,2800.8,2800.000,35,2012-09-27,1407,Mecklenburgische Seenplatte,Malchin,17139,Malchin,53.733600,12.779400
SEE989883258411,Krannich Solarpark 27 Gütersloh,,ABR947558682657,Krannich Solarpark 27 GmbH ＆Co KG,3520.0,3120.000,35,2013-07-30,1409,Gütersloh,Gütersloh,33335,Gütersloh,51.918100,8.448200
SEE940155260877,Solarpark Alhena Mirow,,ABR981533633432,Alhena GmbH,1799.16,1600.800,35,2013-08-28,1407,Mecklenburgische Seenplatte,Mirow,17252,Mirow,53.265400,12.819200
SEE968694944010,NMB Star Asset Sun BEUNA,,ABR987888682217,NMB Star Asset Sun Beuna GmbH ＆ Co. KG,3953.56,3953.560,35,2011-12-23,1414,Saalekreis,Merseburg,06217,Beuna,51.307700,11.961800
