operator,capacity_mw,place,municipality,province,year_realized,latitude,longitude
Zonnepark Dorhout Mees B.V.,147.766,DRONTEN,Dronten,Flevoland,2022,52.41449799453784,5.681542679320759
Zonnepark Vlagtwedde B.V.,109.8504,VLAGTWEDDE,Westerwolde,Groningen,2020,52.97927169465772,7.077676005533102
Zon Noordermeerdijk B.V.,107.57439,RUTTEN,Noordoostpolder,Flevoland,2025,52.8024949518245,5.6376619627942635
BEE SP Midden Groningen B.V.,103,SAPPEMEER,Midden-Groningen,Groningen,2019,53.175119394003545,6.7703092461279235
Zonnepark Eekerweg B.V.,94.4,MEEDEN,Oldambt,Groningen,2025,53.17001494580477,6.919711238513842
BEE Stadskanaal B.V.,89.114,STADSKANAAL,Stadskanaal,Groningen,2020,53.00869810288464,6.942887331895309
Zonnepark Overbetuwe B.V.,80,ELST GLD,Overbetuwe,Gelderland,2023,51.89739484143206,5.797196640049897
Zonnepark Winterswijk Masterveldweg B.V.,73.56,WINTERSWIJK,Winterswijk,Gelderland,2024,52.01241971919823,6.776342005866824
CEE Zonnepark Fledderbosch B.V.,60.912,TEN BOER,Groningen,Groningen,2024,53.25430234258982,6.683424483267364
Zonnepark Mosselbanken Terneuzen B.V.,60,HOEK,Terneuzen,Zeeland,2022,51.34459901889684,3.738616934395226
DEPB B.V.,57.5,BOXMEER,Land van Cuijk,Noord-Brabant,2025,51.592231617124355,5.978984532400036
Energiepark Duurkenakker B.V.,56.18,MUNTENDAM,Midden-Groningen,Groningen,2020,53.14293375147869,6.892952381692916
Solar-EP III B.V.,55.364,ALMELO,Almelo,Overijssel,2024,52.38472214952796,6.6550450271175725
BEE Lelystad B.V.,55.166,LELYSTAD,Lelystad,Flevoland,2022,52.45120287516329,5.48514911545087
Solarpark Scaldia B.V.,54.783,BORSSELE,Borsele,Zeeland,2018,51.4695152271976,3.7264474670058263
Eneco Solar B.V.,54,OSSENDRECHT,Woensdrecht,Noord-Brabant,2024,51.377797997741496,4.288589148050851
Zonnepark Vloeivelden Hollandia B.V.,50.0384,NIEUW-BUINEN,Borger-Odoorn,Drenthe,2021,52.93613655886971,6.904273768084777
FP Lux REIO PV Netherlands Exloo B.V.,49.8,EXLOO,Borger-Odoorn,Drenthe,2022,52.88585722879,6.886724317857103
Zon Noordelijk Flevoland B.V.,45.647,MARKNESSE,Noordoostpolder,Flevoland,2024,52.684654660914845,5.937792179950329
Zonneakker Voorst B.V.,45.198,WILP GLD,Voorst,Gelderland,2020,52.223314894085156,6.134213985174903
Solar-EW I B.V.,43.983,CREIL,Noordoostpolder,Flevoland,2025,52.7752266562882,5.609167063752633
Zonnepark Budel B.V.,43.907,BUDEL-DORPLEIN,Cranendonck,Noord-Brabant,2018,51.240475649885106,5.611065786711741
***,43.689,ZEEWOLDE,Zeewolde,Flevoland,2023,52.3753437412026,5.6020227584898485
CEE Zonnepark Fledderbosch B.V.,42.818,TEN BOER,Groningen,Groningen,2024,53.25474529105527,6.682791447092257
Zuidbroek Energie B.V.,42.67,ZUIDBROEK,Midden-Groningen,Groningen,2022,53.17041693810831,6.844475368396422
Thijs van Oirschot Duurzaam B.V.,41.671,HILVARENBEEK,Hilvarenbeek,Noord-Brabant,2023,51.51007956554251,5.221696142261718
Zonnepark PV2 B.V.,41.1,SELLINGEN,Westerwolde,Groningen,2023,52.944511471567225,7.093734323628708
Solar-EP II B.V.,40,TERNEUZEN,Terneuzen,Zeeland,2023,51.27589979401461,3.8731518438694095
BEE Stadskanaal B.V.,39.869,BUINERVEEN,Borger-Odoorn,Drenthe,2020,52.939995239708956,6.861220612959347
Zonnepark Steenwijkerland B.V.,39.57,WANNEPERVEEN,Steenwijkerland,Overijssel,2023,52.69190810901243,6.150753046718692
Zonnepark Vloeivelden Hollandia B.V.,39.36,NIEUW-BUINEN,Borger-Odoorn,Drenthe,2021,52.9259894690413,6.917264231688276
Solarcarport Biddinghuizen B.V.,39.16,BIDDINGHUIZEN,Dronten,Flevoland,2021,52.43614048149127,5.771836804867342
Zonnepark Markiezaat B.V.,38.853,WOENSDRECHT,Woensdrecht,Noord-Brabant,2024,51.4208030636314,4.274029249575064
Vattenfall Haringvliet B.V.,37.848,MIDDELHARNIS,Goeree-Overflakkee,Zuid-Holland,2020,51.752857639806386,4.203093412704679
Zon op Bavelse Berg B.V.,37.8,BREDA,Breda,Noord-Brabant,2021,51.58425911197914,4.841146531902023
Enerstroom 2 B.V.,37.593,OOLTGENSPLAAT,Goeree-Overflakkee,Zuid-Holland,2019,51.69356994482167,4.341976287903428
Zonthermiepark Dorkwerd B.V.,37.4388,GRONINGEN,Groningen,Groningen,2024,53.251928129793484,6.519461053115848
Solarvation Edelhertweg B.V.,36.30528,LELYSTAD,Lelystad,Flevoland,2023,52.536771228275214,5.542366271934241
***,36.124,BRUMMEN,Brummen,Gelderland,2023,52.11724033221975,6.0787332303516335
Zonnepark Hooibroeken B.V.,36,HEUSDEN GEM HEUSDEN,Heusden,Noord-Brabant,2025,51.72136849761396,5.127630405592426
Zonnepark Sambeeksedijk B.V.,35,OPLOO,Land van Cuijk,Noord-Brabant,2025,51.63129213197604,5.923728049189386
Zonnepark Molenwaard B.V.,34.771,HOOGEZAND,Midden-Groningen,Groningen,2020,53.159536300215265,6.73102519943484
Tpsolar Kriekampen B.V.,34.6,OIRSCHOT,Oirschot,Noord-Brabant,2025,51.494462884144816,5.342060053563052
***,34.5,ROOSENDAAL,Roosendaal,Noord-Brabant,2021,51.56421251565012,4.4437116844359785
Zuyderzon Almere B.V.,34,ALMERE,Almere,Flevoland,2019,52.42021253582114,5.241691731665413
Zonnepark Venekoten B.V.,33.66,OOSTERWOLDE FR,Ooststellingwerf,Friesland,2020,52.96946410869197,6.305938487533194
Zonnepark Ronde Blesse B.V.,33.608,STEENWIJKERWOLD,Steenwijkerland,Overijssel,2025,52.83327517655907,6.064593992155428
Energiebedrijf Larendeel Afferden B.V.,33.5,AFFERDEN GLD,Druten,Gelderland,2025,51.87042180189242,5.62593890500136
Groot Roodehaan B.V.,33.277,GRONINGEN,Groningen,Groningen,2023,53.19744586215366,6.652986020334433
Energiepark Pottendijk B.V.,32.987,NIEUW-WEERDINGE,Emmen,Drenthe,2022,52.82102121930011,6.977232852156883
Zonnepark PV18 B.V.,32.557,HOOGEVEEN,Hoogeveen,Drenthe,2022,52.78098741496933,6.482956470941606
Zevent Zonnepark B.V.,32.4,DRUTEN,Druten,Gelderland,2025,51.86507077183614,5.572685468092677
Zonnepark PV10 B.V.,31.961,DRUTEN,Druten,Gelderland,2021,51.8770882482002,5.669255875183179
Zonnepark PV16 B.V.,31.36,LEMMER,De Fryske Marren,Friesland,2023,52.847853613911575,5.662888333644626
Solar-EP I B.V.,31.1,SLUISKIL,Terneuzen,Zeeland,2023,51.273116812354196,3.8649838492644015
Sunport Delfzijl BV,30.8,DELFZIJL,Eemsdelta,Groningen,2017,53.298079622793026,6.957714184761177
CEE Zonnepark Oranjepoort B.V.,30.681,NIEUW-DORDRECHT,Emmen,Drenthe,2018,52.74256882742628,6.955891584270542
Sunrock Assets XXX B.V.,30.6,BIDDINGHUIZEN,Dronten,Flevoland,2023,52.41800467507449,5.693763215516332
One Solar Beheer VI B.V.,30.219,VELDEN,Venlo,Limburg,2023,51.42077673381829,6.200997752378819
BEE Hoogeveen B.V.,29.702,HOOGEVEEN,Hoogeveen,Drenthe,2019,52.69700448040613,6.452894473975733
Solar Power Sas van Gent-Zuid B.V.,29.607,SAS VAN GENT,Terneuzen,Zeeland,2021,51.22083282625154,3.7927292189375255
Zonnepark Bergweg Mariahoop B.V.,29.10765,MARIA HOOP,Echt-Susteren,Limburg,2024,51.11003051929305,5.986623797185448
BEE Leek B.V.,28.597,LEEK,Westerkwartier,Groningen,2021,53.18170806867411,6.361864354026629
Zonnepark Branderwal B.V.,28.35,KOOTWIJKERBROEK,Barneveld,Gelderland,2024,52.14864561049367,5.650029882665382
