objectid,descripcion,numero,municipio,municipio_ine,provincia,provincia_data,cuenca,poligono_industrial,mw,minetur,tecnologia,avistamiento,alta,baja,fecha_mod,longitude,latitude
3,"PARQUE ELICO CORDAL DE MONTOUTO",1,"A CORUÑA Aranga",INE150032,"A Coruña","A CORUÑA","RIO MENDO","",14,RE-112094,Eólica,b.2.1,2014-11-13,,2025-05-22,-7.97888899999997,43.18888900000012
4,"P. E. SERRA DA LOBA",2,"A CORUÑA Aranga",INE150032,"A Coruña","A CORUÑA","RIO MENDO","",36,RE-006314 y 1 más,Eólica,b.2.1,2005-06-22,,2025-05-22,-7.998600999999936,43.25625200000013
16,"P. E. SINGULAR INDITEX",1,"A CORUÑA Arteixo",INE150050,"A Coruña","A CORUÑA","RIO DE ARTEIXO","",0.85,RE-006762,Eólica,b.2.1,2004-06-02,,2025-05-22,-8.509721999999945,43.29972200000006
17,"P.E. SINGULAR ARTEIXO",1,"A CORUÑA Arteixo",INE150050,"A Coruña","A CORUÑA","RIO DE ARTEIXO","",2,RE-104296,Eólica,b.2.1,2010-04-23,,2025-05-22,-8.51111099999995,43.30444400000003
40,"P. E. SILVARREDONDA",1,"A CORUÑA Cabana de Bergantiños",INE150145,"A Coruña","A CORUÑA","RIO ANLLONS","",16.9,RE-006312,Eólica,b.2.1,2005-08-17,,2025-05-22,-8.843405999999966,43.18875900000011
41,"PARQUE EOLICO MOURINOS",1,"A CORUÑA Cabana de Bergantiños",INE150145,"A Coruña","A CORUÑA","RIO ANLLONS","",9.61,RE-112911,Eólica,b.2.1,2019-09-12,,2025-05-22,-8.938264999999912,43.193674000000094
43,"P. E. VIRAVENTO  (antesCABO VILANO AWEC-60)",1,"A CORUÑA Camariñas",INE150161,"A Coruña","A CORUÑA","INTERCUENCA ATLANTICO NORTE","",1.2,RE-000922,Eólica,b.2.1,2004-06-21,,2025-05-22,-9.199721999999868,43.14972200000005
44,"P.E. DO VILAN",3,"A CORUÑA Camariñas",INE150161,"A Coruña","A CORUÑA","INTERCUENCA ATLANTICO NORTE","",22.9,RE-000921 y 2 más,Eólica,b.2.1,1998-01-01,,2025-05-22,-9.182199999999924,43.152652000000096
45,"P.E. PEÑA FORCADA",1,"A CORUÑA Camariñas",INE150161,"A Coruña","A CORUÑA","REGO DE LAZO","",33.8,RE-003880,Eólica,b.2.1,2003-04-11,,2025-05-22,-9.11256799999993,43.16535500000004
56,"PARQUE EOLICO A CAPELADA",2,"A CORUÑA Cariño",INE159012,"A Coruña","A CORUÑA","REGO DE GUIMIL","",31.35,RE-001064 y 1 más,Eólica,b.2.1,1998-01-01,,2025-05-22,-7.953055999999929,43.66361100000004
