case_id,eia_id,p_state,p_county,ylat,xlong,p_name,p_year,p_tech_pri,p_cap_ac,p_cap_dc,p_type,utility_name
1,1,AK,Aleutians East,55.339722,-160.497222,Sand Point,2011,WIND,1.0,,wind farm,"Sand Point Generating, LLC"
90,90,AK,Nome,64.505331,-165.429814,Snake River,2013,WIND,1.8,,wind farm,Nome Joint Utility Systems
508,508,CO,Prowers,38.033327,-102.537915,Lamar Plant,2004,WIND,6.0,,wind farm,City of Lamar - (CO)
944,944,IL,Henry,41.451494,-90.148547,Geneseo,2009,WIND,3.0,,wind farm,City of Geneseo - (IL)
1172,1172,IA,Mitchell,43.279722,-92.810556,Osage (IA),2009,WIND,1.6,,wind farm,City of Osage - (IA)
1998,1998,MN,Cottonwood,43.9405,-94.9434,Mountain Lake,2007,WIND,1.2,,wind farm,City of Mountain Lake - (MN)
2022,2022,MN,Kandiyohi,45.121705,-95.053236,Willmar,2009,WIND,4.0,,wind farm,Willmar Municipal Utilities
2024,2024,MN,Nobles,43.63349,-95.609234,Worthington,2002,WIND,5.6,,wind farm,City of Worthington - (MN)
6304,6304,AK,NORTHWEST ARCTIC,66.837778,-162.556944,Kotzebue Hybrid,1997,WIND,3.3,,wind farm,Kotzebue Electric Assn Inc
7381,7381,VT,Bennington,42.8625,-72.9628,Searsburg Wind Turbine,1997,WIND,6.0,,wind farm,Green Mountain Power Corp
7501,7501,MA,Worcester,42.4789,-71.9,Princeton Wind Farm,2010,WIND,3.0,,wind farm,Town of Princeton - (MA)
7526,7526,CA,Solano,38.116415,-121.769031,Solano Wind,2006,WIND,300.5,,wind farm,Sacramento Municipal Util Dist
7771,7771,NE,Keya Paha,42.82579,-99.777467,Springview,2011,WIND,3.0,,wind farm,Bluestem LLC
7855,7855,MN,Clay,46.895,-96.7347,Moorhead Wind Turbine,1999,WIND,1.4,,wind farm,City of Moorhead - (MN)
7886,7886,WI,Kewaunee,44.6694,-87.6333,Wind Turbine,1999,WIND,11.0,,wind farm,Madison Gas & Electric Co
7927,7927,TN,Anderson,36.120994,-84.338733,Buffalo Mountain,2000,WIND,1.8,,wind farm,Tennessee Valley Authority
7936,7936,WA,Benton,46.0958,-119.0964,Nine Canyon,2002,WIND,95.9,,wind farm,Energy Northwest
7966,7966,IA,Kossuth,43.034722,-94.140556,Iowa Distributed Wind Generation Project,2000,WIND,2.3,,wind farm,City of Algona - (IA)
10005,10005,CA,Merced,37.0478,-121.1708,Dinosaur Point,1988,WIND,17.4,,wind farm,International Turbine Res Inc
10191,10191,CA,Kern,35.060556,-118.389722,Tehachapi Wind Resource I,1984,WIND,8.7,,wind farm,CalWind Resources Inc
10586,10586,CA,Kern,35.075,-118.3158,Cameron Ridge LLC,1984,WIND,59.6,,wind farm,Terra-Gen Operating Co-Wind
10597,10597,CA,Kern,35.0697,-118.3167,Ridgetop Energy LLC,1984,WIND,29.0,,wind farm,Terra-Gen Operating Co-Wind
10718,10718,CA,Riverside,33.92194,-116.56222,Karen Avenue Wind Farm,1985,WIND,11.7,,wind farm,San Gorgonio Farms Inc
10823,10823,MA,Suffolk,42.353333,-70.962778,Deer Island Treatment Plant,2009,WIND,1.2,,wind farm,Massachusetts Wtr Rauth-Deer I
50281,50281,CA,Riverside,33.926111,-116.615,San Gorgonio Farms Wind Farm,1983,WIND,31.0,,wind farm,San Gorgonio Farms Inc
50532,50532,CA,Kern,35.0686,-118.3833,Victory Garden (Tehachapi),1981,WIND,26.1,,wind farm,Wind Stream Operations LLC
50533,50533,CA,Riverside,33.9369,-116.6183,Painted Hills Wind Park,2021,WIND,46.8,,wind farm,Terra-Gen Operating Co-Wind
50535,50535,CA,Riverside,33.9461,-116.6769,Mesa Wind Power LLC,1984,WIND,33.6,,wind farm,Brookfield Renewable Trading and Marketing LP
50536,50536,CA,Kern,35.2608,-118.2469,Sky River Wind Energy Center,2021,WIND,60.2,,wind farm,Sky River Wind LLC
50552,50552,CA,Riverside,33.914986,-116.71026,Salka Cabazon Wind,1999,WIND,38.9,,wind farm,Salka Cabazon Wind LLC
50553,50553,CA,Riverside,33.881667,-116.460278,Edom Hills Project 1 LLC,2008,WIND,20.0,,wind farm,Edom Hills Project 1 LLC
50690,50690,CA,Riverside,33.934,-116.5781,San Gorgonio Westwinds II LLC,1999,WIND,43.4,,wind farm,Terra-Gen Operating Co-Wind
50754,50754,CA,Kern,35.043889,-118.276388,Oak Creek Energy Systems I,1982,WIND,34.5,,wind farm,Terra-Gen Operating Co-Wind
50820,50820,CA,Riverside,33.890913,-116.541515,East Winds Project,1985,WIND,3.0,,wind farm,Terra-Gen Operating Co-Wind
50821,50821,CA,Kern,35.045,-118.2642,Mojave 16/17/18,1989,WIND,88.5,,wind farm,Terra-Gen Operating Co-Wind
52142,52142,CA,Kern,35.0506,-118.2572,Mojave 3/4/5,1990,WIND,75.0,,wind farm,Terra-Gen Operating Co-Wind
52162,52162,CA,Kern,35.095797,-118.324772,85 A,2021,WIND,21.3,,wind farm,Wind Wall 1 LLC
52163,52163,CA,Kern,35.102577,-118.332533,85 B,2021,WIND,25.2,,wind farm,Wind Wall 1 LLC
54298,54298,CA,Kern,35.0583,-118.3417,Coram Energy LLC (ECT),2005,WIND,7.5,,wind farm,Nextera Energy Resources
54299,54299,CA,Kern,35.075,-118.3417,Coram Energy LLC,2005,WIND,3.0,,wind farm,Nextera Energy Resources
54300,54300,CA,Kern,35.0583,-118.3083,Coram Energy LLC (4.5MW),1985,WIND,4.6,,wind farm,Nextera Energy Resources
54453,54453,CA,Solano,38.1167,-121.8333,EDF Renewable Windfarm V Inc,1990,WIND,15.5,,wind farm,"EDF Renewable Asset Holdings, Inc."
54454,54454,CA,Riverside,33.918395,-116.573906,San Gorgonio Windplant WPP1993,2011,WIND,49.5,,wind farm,"FPL Energy Operating Services, Inc."
54647,54647,CA,Kern,35.05,-118.2572,TPC Windfarms LLC,1986,WIND,28.7,,wind farm,Terra-Gen Operating Co-Wind
54686,54686,CA,Kern,35.0506,-118.1714,Difwind Farms Ltd VI,1987,WIND,27.1,,wind farm,Terra-Gen Operating Co-Wind
54750,54750,CA,Kern,35.0663,-118.339444,Coram Tehachapi,1992,WIND,6.5,,wind farm,Nextera Energy Resources
54793,54793,IA,Buena Vista,42.6878,-95.405,Storm Lake 1,1999,WIND,113.9,,wind farm,ALLETE Clean Energy
54909,54909,CA,Kern,35.1061,-118.3114,Tehachapi Wind Resource II,1997,WIND,21.9,,wind farm,CalWind Resources Inc
54931,54931,CA,Kern,35.074,-118.3153,Ridgetop,1994,WIND,46.8,,wind farm,Terra-Gen Operating Co-Wind
54979,54979,TX,Howard,32.2075,-101.388333,Big Spring Wind Power Facility,1998,WIND,34.3,,wind farm,Terra-Gen Operating Co-Wind
55125,55125,OR,Umatilla,45.936157,-118.65999,Vansycle,1998,WIND,25.0,,wind farm,ESI Vansycle Partners LP
55208,55208,MN,Lincoln,44.2917,-96.375,Lake Benton I,1998,WIND,107.2,,wind farm,ALLETE Clean Energy
55265,55265,MN,Pipestone,44.129369,-96.116971,Lake Benton II,1999,WIND,100.2,,wind farm,Northern States Power Co - Minnesota
55287,55287,IA,Buena Vista,42.8417,-95.405,Storm Lake II,1999,WIND,80.2,,wind farm,ALLETE Clean Energy
55339,55339,CA,Riverside,33.916667,-116.55,Phoenix Wind Power LLC,1999,WIND,2.1,,wind farm,Avangrid Power LLC
55342,55342,MN,Pipestone,43.985833,-96.078611,Woodstock Windfarm,1999,WIND,9.2,,wind farm,Consolidated Edison Development Inc.
55353,55353,MN,Lincoln,44.39956,-96.428367,Lakota Ridge LLC,1999,WIND,11.2,,wind farm,"Lakota Ridge, LLC (Longroad)"
55354,55354,MN,Lincoln,44.421711,-96.434694,Shaokatan Hills LLC,1999,WIND,11.8,,wind farm,"Shaokatan Hills, LLC (Longroad)"
55560,55560,WA,Walla Walla,46.06,-118.917,FPL Energy Vansycle LLC (WA),2001,WIND,176.9,,wind farm,FPL Energy Vansycle LLC
55561,55561,MN,Lincoln,44.42,-96.4347,Tsar Nicholas LLC,2001,WIND,1.9,,wind farm,CHI Operations Inc
55562,55562,MN,Lincoln,44.4289,-96.4358,Sun River LLC,2001,WIND,1.9,,wind farm,CHI Operations Inc
